airport_id,name,city,country,iata,latitude,longitude
2397,Ninoy Aquino International Airport,Manila,Philippines,MNL,14.5086,121.019997
2399,Awang Airport,Cotabato,Philippines,CBO,7.165239810943604,124.20999908447266
2400,Cagayan De Oro Airport,Ladag,Philippines,\N,8.41562,124.611
2401,Pagadian Airport,Pagadian,Philippines,PAG,7.83073144787,123.461179733
2402,General Santos International Airport,Romblon,Philippines,GES,6.05800008774,125.096000671
2404,Zamboanga International Airport,Zamboanga,Philippines,ZAM,6.922420024871826,122.05999755859376
2405,Loakan Airport,Baguio,Philippines,BAG,16.375099182128906,120.62000274658205
2406,Daet Airport,Daet,Philippines,DTE,14.129199981689451,122.9800033569336
2407,Basa Air Base,Floridablanca,Philippines,\N,14.98724,120.492554
2408,Lingayen Airport,Lingayen,Philippines,\N,16.034799575805664,120.24099731445312
2409,San Jose Airport,San Jose,Philippines,SJI,12.361499786399998,121.04699707
2410,Fernando Air Base,Lipa,Philippines,\N,13.954999923706056,121.125
2411,Mamburao Airport,Mamburao,Philippines,MBO,13.208100318908691,120.6050033569336
2414,Vigan Airport,Vigan,Philippines,\N,17.555299758911133,120.3560028076172
2415,Dr.Juan C. Angara Airport,Baler,Philippines,BQA,15.729309,121.500034
2421,Bagabag Airport,Bagabag,Philippines,\N,16.6192,121.251999
2422,Daniel Z. Romualdez Airport,Tacloban,Philippines,TAC,11.228035,125.027761
2423,Bacolod-Silay Airport,Bacolod,Philippines,BCD,10.7764,123.014999
2425,Sibulan Airport,Dumaguete,Philippines,DGT,9.3337097168,123.300003052
2426,Godofredo P. Ramos Airport,Caticlan,Philippines,MPH,11.9245,121.954002
2428,Guiuan Airport,Guiuan,Philippines,\N,11.0354995728,125.741996765
2429,Iloilo International Airport,Iloilo,Philippines,ILO,10.833017,122.493358
2430,Kalibo International Airport,Kalibo,Philippines,KLO,11.679400444,122.375999451
2433,Puerto Princesa Airport,Puerto Princesa,Philippines,PPS,9.742119789123535,118.75900268554688
2435,Evelio Javier Airport,San Jose,Philippines,EUQ,10.765999794,121.932998657
3033,Kampong Chhnang Airport,Kompong Chnang,Cambodia,KZC,12.255200386,104.564002991
3034,Phnom Penh International Airport,Phnom-penh,Cambodia,PNH,11.546600341796877,104.84400177001952
3035,Siem Reap International Airport,Siem-reap,Cambodia,REP,13.410699844400002,103.81300354
3036,Stung Treng Airport,Stung Treng,Cambodia,TNX,13.531900405883787,106.01499938964844
3115,Luang Phabang International Airport,Luang Prabang,Laos,LPQ,19.897300720214844,102.16100311279295
3116,Pakse International Airport,Pakse,Laos,PKZ,15.132100105285645,105.78099822998048
3117,Phonesavanh Airport,Phong Savanh,Laos,\N,19.45490074157715,103.21800231933594
3118,Savannakhet Airport,Savannakhet,Laos,ZVK,16.55660057067871,104.76000213623048
3119,Sam Neua Airport,Sam Neua,Laos,NEU,20.418399810791016,104.06700134277344
3120,Wattay International Airport,Vientiane,Laos,VTE,17.988300323500003,102.56300354
3157,Don Mueang International Airport,Bangkok,Thailand,DMK,13.9125995636,100.607002258
3158,Kamphaeng Saen Airport,Nakhon Pathom,Thailand,KDT,14.1020002365,99.9171981812
3159,Khok Kathiam Airport,Lop Buri,Thailand,\N,14.8746004105,100.663002014
3161,U-Tapao International Airport,Pattaya,Thailand,UTP,12.67990016937256,101.00499725341795
3162,Watthana Nakhon Airport,Prachin Buri,Thailand,\N,13.768799781799316,102.31500244140624
3163,Lampang Airport,Lampang,Thailand,LPT,18.27090072631836,99.50420379638672
3164,Phrae Airport,Phrae,Thailand,PRH,18.132200241088867,100.16500091552734
3165,Hua Hin Airport,Prachuap Khiri Khan,Thailand,HHQ,12.6361999512,99.951499939
