geonameid,name,asciiname,alternatenames,latitude,longtitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date
1820071,Tutong,Tutong,"Pekan Tutong,Tutong,touton,tutam,tutonga,tutoniግ,twtwng,twtwnj,Тутонг,توتونج,توتونگ,ٹwٹwng,ٹوٹونگ,तुटोंग,তুতং,ਤੁਟੋਂਗ,ቱቶንግ,トゥトン",4.80278,114.64917,P,PPLA,BN,,04,,,,19151,,8,Asia/Brunei,2026-04-13
1820187,Seria,Seria,"Seria,Serija,seria,sex reiy,Сериа,Серия,เซอเรีย,セリア",4.60637,114.32476,P,PPL,BN,,01,,,,30097,,6,Asia/Brunei,2013-06-09
1820491,Kuala Belait,Kuala Belait,"Belait,KUB,Kuala Belait,Kuala-Belait,Kuala-Belajt,Kvala Belaitas,Kwala Belait,ku'ala belaita,kuallabeullais,kuaraburaito,kuwala belayiti,kuyala bela'ita,kwala blayt,kwala bylayt,kwala bylyt,ma lai yi,Куала-Белаит,Куала-Белайт,קואלה בלייט,كوالا بيلايت,کوالا بلایت,کوالا بيلايت,کوالا بیلیت,कुआला बेलैट,কুয়ালা বেলাইট,ਕੁਆਲਾ ਬੇਲੈਟ,ኩዋላ ቤላይት,クアラブライト,马来奕,쿠알라블라잇",4.58361,114.2312,P,PPLA,BN,,01,,,,31178,,5,Asia/Brunei,2026-04-13
1820557,Liang,Liang,"Kampong Sungai Liang,Kampung Sungai Liang",4.67747,114.49587,P,PPL,BN,,01,,,,16813,,14,Asia/Brunei,2024-04-22
1820574,Serasa,Serasa,"Kampong Serasa,Kampung Serasa,Serasa",5.01761,115.05798,P,PPL,BN,,02,,,,18569,,7,Asia/Brunei,2024-04-22
1820575,Sengkurong,Sengkurong,"Kampong Sengkurong,Sangkurong,Sengkurong",4.88333,114.83333,P,PPL,BN,,02,11821309,,,40972,,14,Asia/Brunei,2024-05-01
1820635,Mentiri,Mentiri,"Kampong Mentiri,Kampung Mentiri,Mentiri",4.97058,115.02078,P,PPL,BN,,02,,,,39324,,8,Asia/Brunei,2024-04-22
1820906,Bandar Seri Begawan,Bandar Seri Begawan,"BWN,Banda Seri,Bandar Seri Begauan,Bandar Seri Begavan,Bandar Seri Begavanas,Bandar Seri Begawan,Bandar Sery Begawan,Bandar-Seri-Begavan,Bandar-Seri-Begavano,Bandar-Sery-Begavan,Bandarseribegavana,Brunei,Brunei Town,Bruni,Mpantar Seri Mpenkaban,badara seri begavana,ban dar se ribe ka wan,bandaleuseulibeugawan,bandar seri bagevan,bandar-seri-begavani,bandara seri bega'oyana,bandara seri begavana,bandara sri bagavana,bandarusuribugawan,bndr sry bgawan,bndr sry bkawan,bndr sry bygwan,pantar ceri pekavan,si li ba jia wan,si li ba jia wan shi,sry bgawan,Μπαντάρ Σερί Μπεγκαβάν,Бандар Сери Бегаван,Бандар-Сери-Бегаван,Бандар-Серы-Бегаван,Бандар-Сері-Бегаван,Բանդար Սերի Բեգավան,בנדר סרי בגוואן,باندار سەرى بەگاۋان,بندر سري بكاوان,بندر سری بگاوان,بندر سری بیگوان,بەندەر سێری بێگاوان,سری بگاوان,बंदर स्री बगवान,बन्दर सेरी बेगवान,बन्दर सेरी बेगावान,বন্দর সেরি বেগাওয়ান,ਬੰਦਰ ਸੇਰੀ ਬੇਗਵਾਨ,பண்டர் செரி பெகாவான்,ಬಂದರ್ ಸೆರಿ ಬಗೆವನ್,ബന്ദർ സെരി ബെഗവൻ,บันดาร์เสรีเบกาวัน,སི་རི་པེ་ཀ་མཚོ་ཁུགས་གྲོང་ཁྱེར།,ဘန်ဒါဆရီဘဂါဝမ်မြို့,ბანდარ-სერი-ბეგავანი,ባንዳር ሰሪ ቤጋዋን,バンダルスリブガワン,斯里巴加湾市,斯里巴加灣,斯里巴加灣市,반다르스리브가완",4.89035,114.94006,P,PPLC,BN,,02,,,,64409,,10,Asia/Brunei,2019-09-05
1213442,Tongging,Tongging,"Tongging,Tonging,Тонгинг",2.8985,98.5231,P,PPL,ID,,26,1211,,,16000,,926,Asia/Jakarta,2022-12-30
1213493,Teluk Nibung,Teluk Nibung,"Teloekniboeng,Teluk Nibung",3.001,99.8164,P,PPL,ID,,26,1272,,,25146,,3,Asia/Jakarta,2022-12-31
1213495,Teluk Dalam,Teluk Dalam,"Teloekdalam,Teloekdalem,Telok Dalam,Telokdalem,Teluk Dalam,Telukdalam,Telukdalem",0.5729,97.8034,P,PPLA2,ID,,26,1214,,,25780,,41,Asia/Jakarta,2023-02-09
1213500,Tebingtinggi,Tebingtinggi,Tebingtinggi,3.3285,99.1625,P,PPL,ID,,26,1274,,,117530,,24,Asia/Jakarta,2022-12-31
1213504,Tarutung,Tarutung,"Taroeloeng,Taroetoeng,Tarutung",2.01467,98.96548,P,PPL,ID,,26,1205,,,39500,,948,Asia/Jakarta,2024-04-11
1213530,Tanjungtiram,Tanjungtiram,"Tandjoengtiram,Tandjungtiram,Tanjungtiram",4.0613,98.3699,P,PPL,ID,,26,1213,,,25118,,2,Asia/Jakarta,2022-12-30
1213547,Tanjungbalai,Tanjungbalai,"Tandjoengbalai,Tandjungbalai,Tanjungbalai",2.96667,99.8,P,PPL,ID,,26,1272,,,183170,,4,Asia/Jakarta,2024-05-23
1213614,Sunggal,Sunggal,"Sungal,Sunggal",3.5765,98.6151,P,PPL,ID,,26,1275,,,157914,,32,Asia/Jakarta,2022-12-31
1213655,Stabat,Stabat,"Stabat,Stabatbaru",3.73335,98.45025,P,PPL,ID,,26,1213,,,26862,,12,Asia/Jakarta,2015-01-27
1213713,Singkil,Singkil,"FSH,Nieuw Singkel,Nieuw Singkil,Pasar Singkil,Singkel,Singkil,Singkilbaru,Sinkel,Сингкил",2.2874,97.7884,P,PPLA2,ID,,01,1102,,,46800,,5,Asia/Jakarta,2026-01-22
1213821,Sigli,Sigli,Sigli,5.3848,95.9609,P,PPLA2,ID,,01,1109,,,17504,,9,Asia/Jakarta,2022-12-30
1213840,Sidikalang,Sidikalang,Sidikalang,2.74899,98.3127,P,PPLA2,ID,,26,1210,,,50671,,1066,Asia/Jakarta,2025-07-11
1213855,Sibolga,Sibolga,"FLZ,Kota Sibolga,Sibolga,Сиболга",1.74016,98.78117,P,PPL,ID,,26,1271,,,91265,,6,Asia/Jakarta,2024-05-23
1214026,Sabang,Sabang,"Kota Sabang,Kuta Sabang,Kutha Sabang,SBG,Sabang,Sabangas,Sabong,saban,sabang,sabangh,sha huang,Сабанг,سابانغ,سابانگ، انڈونیشیا,サバン,沙璜,사방",5.88969,95.31644,P,PPL,ID,,01,1172,,,42066,,16,Asia/Jakarta,2022-12-30
1214055,Reuleuet,Reuleuet,,5.21667,96.28333,P,PPL,ID,,01,1118,,,40393,,9,Asia/Jakarta,2022-12-30
1214073,Rantauprapat,Rantauprapat,Rantauprapat,2.1,99.83333,P,PPL,ID,,26,1207,,,103009,,29,Asia/Jakarta,2022-12-30
1214189,Percut,Percut,"Percut,Pertjoet,Pertjut",3.6253,98.864,P,PPL,ID,,26,1212,,,311063,,11,Asia/Jakarta,2022-12-30
1214191,Perbaungan,Perbaungan,"Baoengan,Baoengar,Baungan,Perbaungan",3.5679,98.956,P,PPL,ID,,26,1218,,,157174,,19,Asia/Jakarta,2022-12-31
1214204,Pematangsiantar,Pematangsiantar,"Pematangsiantar,Pematangsieantar",2.9595,99.0687,P,PPL,ID,,26,1273,,,274838,,388,Asia/Jakarta,2024-05-23
1214256,Paropo,Paropo,Paropo,2.8663,98.5211,P,PPL,ID,,26,1210,,,16065,,918,Asia/Jakarta,2024-04-11
1214302,Pangkalan Brandan,Pangkalan Brandan,"Pangkalan Brandan,Pangkalanberandan",4.0238,98.2782,P,PPL,ID,,26,1213,,,25542,,5,Asia/Jakarta,2022-12-30
1214369,Padangsidempuan,Padangsidempuan,"Padangsidempuan,Padangsidimpoean,Padangsidimpuan",1.37952,99.27146,P,PPL,ID,,26,1277,,,236217,,310,Asia/Jakarta,2024-05-23
1214488,Meulaboh,Meulaboh,"MEQ,Melabokha,Meulaboh,Molabo,Mölabo,Мелабоха",4.14402,96.12664,P,PPLA2,ID,,01,1107,,,64646,,7,Asia/Jakarta,2023-02-08
1214520,Medan,Medan,"Kota Medan,Kuta Medan,Kuta Mèdan,Kutha Medan,MES,Medan,Medana,Medanas,Medano,Mentan,mdan,me dan,medan,metan,mian lan,mydan,Μεντάν,Медан,مدان,ميدان,میدان ، انڈونیشیا,மேடான்,เมดาน,ᯔᯑᯉ᯳,ᯔᯩᯑᯉ᯳,メダン,棉蘭,메단",3.58333,98.66667,P,PPLA,ID,,26,1275,,,2435252,,26,Asia/Jakarta,2025-10-12
1214658,Lhokseumawe,Lhokseumawe,"Kota Lhokseumawe,LSW,Lho'seumawe,Lhokseumawe,Lhoksumawe,Lho’seumawe,Lokseumave,Локсеумаве",5.1801,97.1507,P,PPL,ID,,01,1174,,,196067,,6,Asia/Jakarta,2024-05-23
1214724,Langsa,Langsa,"Langsa,Langsar",4.4683,97.9683,P,PPL,ID,,01,1173,,,194730,,10,Asia/Jakarta,2024-05-23
1214776,Lahewa,Lahewa,"Lahewa,Lewalewa",1.3943,97.1675,P,PPL,ID,,26,1224,,,24485,,5,Asia/Jakarta,2024-04-11
1214800,Labuhan Deli,Labuhan Deli,"Deli,Laboean Deli,Laboehan,Laboehandeli,Labuan Deli,Labuhan,Labuhan Deli,Laukaban",3.879,98.633,P,PPL,ID,,26,1275,,,49668,,2,Asia/Jakarta,2024-03-26
1214882,Kisaran,Kisaran,"Kisaran,Kisaran Baru",2.9845,99.6158,P,PPLA2,ID,,26,1208,,,141915,,20,Asia/Jakarta,2023-02-08
1214965,Kabanjahe,Kabanjahe,"Kabandjahe,Kabanjahe",3.1001,98.4908,P,PPLA2,ID,,26,1211,,,73581,,1196,Asia/Jakarta,2023-02-09
